2021-05-21T14:24:03.354+05:30 INFO  [main] justiceleague-tracker JusticeLeagueTrackerApplication: Starting JusticeLeagueTrackerApplication v0.0.1-SNAPSHOT on LAPTOP-3CIKLU5E with PID 5992 (/home/shahid/devops/sample-java/justicealeague-tracker/target/justiceleague-tracker-0.0.1-SNAPSHOT.jar started by shahid in /home/shahid/devops/sample-java/justicealeague-tracker)
2021-05-21T14:24:03.358+05:30 INFO  [main] justiceleague-tracker JusticeLeagueTrackerApplication: The following profiles are active: dev
2021-05-21T14:24:06.020+05:30 INFO  [main] justiceleague-tracker JusticeLeagueTrackerApplication: Started JusticeLeagueTrackerApplication in 3.61 seconds (JVM running for 4.519)
2021-05-21T14:31:02.248+05:30 INFO  [main] justiceleague-tracker JusticeLeagueTrackerApplication: Starting JusticeLeagueTrackerApplication v0.0.1-SNAPSHOT on LAPTOP-3CIKLU5E with PID 6037 (/home/shahid/devops/sample-java/justicealeague-tracker/target/justiceleague-tracker-0.0.1-SNAPSHOT.jar started by shahid in /home/shahid/devops/sample-java/justicealeague-tracker)
2021-05-21T14:31:02.251+05:30 INFO  [main] justiceleague-tracker JusticeLeagueTrackerApplication: The following profiles are active: dev
2021-05-21T14:31:04.700+05:30 INFO  [main] justiceleague-tracker JusticeLeagueTrackerApplication: Started JusticeLeagueTrackerApplication in 3.345 seconds (JVM running for 4.124)
2021-05-21T16:48:53.373+05:30 INFO  [main] justiceleague-tracker JusticeLeagueTrackerApplication: Starting JusticeLeagueTrackerApplication v0.0.1-SNAPSHOT on LAPTOP-3CIKLU5E with PID 7152 (/home/shahid/devops/sample-java/justicealeague-tracker/target/justiceleague-tracker-0.0.1-SNAPSHOT.jar started by shahid in /home/shahid/devops/sample-java/justicealeague-tracker)
2021-05-21T16:48:53.376+05:30 INFO  [main] justiceleague-tracker JusticeLeagueTrackerApplication: The following profiles are active: dev
2021-05-21T16:48:55.972+05:30 INFO  [main] justiceleague-tracker JusticeLeagueTrackerApplication: Started JusticeLeagueTrackerApplication in 3.496 seconds (JVM running for 4.53)
2021-05-21T16:50:42.583+05:30 INFO  [main] justiceleague-tracker JusticeLeagueTrackerApplication: Starting JusticeLeagueTrackerApplication v0.0.1-SNAPSHOT on LAPTOP-3CIKLU5E with PID 7199 (/home/shahid/devops/sample-java/justicealeague-tracker/target/justiceleague-tracker-0.0.1-SNAPSHOT.jar started by shahid in /home/shahid/devops/sample-java/justicealeague-tracker)
2021-05-21T16:50:42.588+05:30 INFO  [main] justiceleague-tracker JusticeLeagueTrackerApplication: The following profiles are active: dev
2021-05-21T16:50:45.437+05:30 INFO  [main] justiceleague-tracker JusticeLeagueTrackerApplication: Started JusticeLeagueTrackerApplication in 3.858 seconds (JVM running for 4.943)
